company_name	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags
Aggregate Law	 https://www.aggregatelaw.com/	 https://twitter.com/aggregatelaw?lang=en	 https://angel.co/company/aggregate-knowledge	 https://www.crunchbase.com/organization/aggregate-law	 https://co.linkedin.com/company/aggregate-law	 https://www.facebook.com/Aggregate.Law/
Book-It Legal	 http://www.butlerelderlaw.com/blog/2018/2/22/introducing-book-it-legal-the-innovative-legal-startup-that-may-forever-change-the-student-clerkship	 https://twitter.com/ronfriedmann?lang=en	 https://angel.co/legal	 https://www.crunchbase.com/organization/book-it-legal	 https://sv.linkedin.com/company/book-it-legal	 https://www.facebook.com/BookItRep/
BorderWise	 https://www.borderwise.co/	 https://twitter.com/borderwise_co?lang=en	 https://angel.co/company/docketwise/jobs/683084-customer-success-manager	 https://www.crunchbase.com/organization/borderwise	 https://www.linkedin.com/company/docketwise-software	 https://www.facebook.com/borderwise/
Boundless	0	 https://twitter.com/playboundless?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor	 https://angel.co/company/boundless-immigration	 https://www.crunchbase.com/organization/boundless-2	 https://www.linkedin.com/company/boundless-network	 https://www.facebook.com/boundless.org/
Caliber Litigation Services	 https://www.litigationservices.com/news/litigation-services-continues-expand/	 https://twitter.com/caliberls?lang=en	 https://angel.co/company/caliber-6/jobs	 https://www.crunchbase.com/organization/caliber-3	 https://www.linkedin.com/company/caliber-law-s-c-	 https://www.facebook.com/pages/category/Legal-Service/Caliber-Litigation-Services-667742360095337/
Citizen Path	 https://citizenpath.com/	 https://twitter.com/citizenpath?lang=en	 https://citizenpath.com/	 https://www.crunchbase.com/organization/citizenpath	 https://www.linkedin.com/company/citizenpath-com	 https://www.facebook.com/Citizenpath/
Claim Kit	 https://www.employers.com/claims-services/claims-kit-and-forms/state-claim-kits	 https://help.twitter.com/en/rules-and-policies/enhanced-features-agreement	 https://angel.co/company/revive-kit-1	 https://www.crunchbase.com/organization/claimkit	 https://www.linkedin.com/help/linkedin/answer/55962/claim-a-linkedin-listing-page?lang=en	 https://www.facebook.com/ClaimToolkit/?ref=py_c
ClariLegal	 https://clarilegal.com/	 https://twitter.com/clarilegal?lang=en	 https://bostonstartups.net/	 https://www.crunchbase.com/organization/clarilegal	 https://www.linkedin.com/company/clarilegal	 https://www.facebook.com/ClariLegal
ClickNotice	 http://www.clicknotices.com/	 https://twitter.com/clicknotices?lang=en	 https://angel.co/company/click-notices	 https://www.crunchbase.com/organization/click-notices-inc	 https://www.linkedin.com/company/click-notices-inc-	 https://www.facebook.com/clicknoticesinc/
CoInspect	 https://coinspectapp.com/	 https://twitter.com/coinspectapp?lang=en	 https://angel.co/company/coinspectapp	 https://www.crunchbase.com/organization/mewe-inc-	 https://www.linkedin.com/company/coinspectapp	 https://www.facebook.com/coinspectapp/
Community.lawyer, P.B.C.	 https://community.lawyer/	 https://twitter.com/lawyercommunity?lang=en	 https://community.lawyer/	 https://www.crunchbase.com/organization/community-lawyer-2	 https://www.linkedin.com/in/thomasofficer	 https://www.facebook.com/legalaidpbc/
Compliance.AI	 https://www.compliance.ai/	 https://twitter.com/compliance_ai?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor	 https://angel.co/company/compliance-ai-1	 https://www.crunchbase.com/organization/compliance-ai	 https://www.linkedin.com/company/compliance.ai	 https://www.facebook.com/complianceai/
Concept Red	 https://www.crunchbase.com/organization/concept-red	 https://twitter.com/cncpts?lang=en	 https://angel.co/company/pot80s	 https://www.crunchbase.com/organization/concept-red	 https://www.linkedin.com/company/concept-iii-textiles	 https://www.facebook.com/redmonmacparland/
ContractWorks	 https://www.contractworks.com/	 https://twitter.com/ContractWorks?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor	 https://angel.co/company/maya-projects	 https://www.crunchbase.com/organization/contractworks	 https://www.linkedin.com/showcase/contractworks-contract-management-software	 https://www.facebook.com/contractworks/
Court Buddy	 https://www.courtbuddy.com/	 https://twitter.com/courtbuddyinc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor	 https://angel.co/company/court-buddy	 https://www.crunchbase.com/organization/court-buddy	 https://www.linkedin.com/company/courtbuddy-com	 https://www.facebook.com/courtbuddyinc/
Courtroom Animation	 https://courtroomanimation.com/	 https://twitter.com/courtanimation?lang=en	 https://angel.co/company/courtroom-animation	 https://www.crunchbase.com/organization/courtroom-animation	 https://www.linkedin.com/company/courtroom-animation	 https://www.facebook.com/courtroomanimation/
Courtroom Insight	 https://www.courtroominsight.com/	 https://twitter.com/CrtroomInsight/status/917795512794976256	 https://www.courtroominsight.com/	 https://www.crunchbase.com/organization/courtroom-insight	 https://www.linkedin.com/company/courtroom-insight	 https://www.courtroominsight.com/
DealBinder	 https://dealbinder.com/	 https://twitter.com/fordhamlawnyc/status/958055462590611461	 https://yygcdv.top806hot.xyz/	 https://www.crunchbase.com/organization/deal-roadshow-e1ee	 https://www.linkedin.com/in/jenniferpope	 https://www.zoominfo.com/c/dealbinder-llc/442411490
DocuCollab	 https://docucollab.com/	 https://twitter.com/docucollab?lang=en	 http://ec2-18-136-1-48.ap-southeast-1.compute.amazonaws.com/legalscape	 https://www.crunchbase.com/organization/docucollab	 https://www.linkedin.com/company/docucollab	 https://www.facebook.com/DocuCollab/
DomainSkate	 https://www.domainskate.com/	 https://twitter.com/domainskate?lang=en	 https://angel.co/p/howard-greenstein	 https://www.crunchbase.com/organization/domainskate	 https://www.linkedin.com/company/domainskate	 https://www.facebook.com/DomainSkate/
Empower Legal	 https://empowerlegal.net/	 https://twitter.com/legalempower	 https://angel.co/legal	 https://www.crunchbase.com/organization/empower-2	 https://www.linkedin.com/company/empower-legal-group-llc	 https://www.facebook.com/empowerlegalgroup/
Estate Pass	 https://info.legalzoom.com/article/what-does-your-estate-mean-when-relative-has-passed-away	 https://help.twitter.com/en/rules-and-policies/contact-twitter-about-a-deceased-family-members-account	 https://angel.co/company/estatesafe-com	 https://www.crunchbase.com/organization/estate-pass	 https://www.linkedin.com/company/propertypass	 https://www.facebook.com/EstateSalesByDeAnne/
