Caselinq,['https://startupschicago.net/']
LegalThings One,"['https://www.crunchbase.com/organization/legalthings', 'https://www.crunchbase.com/search/funding_rounds/field/organizations/num_funding_rounds/legalthings', 'https://www.crunchbase.com/organization/one']"
smartwork solutions GmbH,"['https://www.crunchbase.com/organization/smashdocs', 'https://www.crunchbase.com/person/christian-marchsreiter', 'https://www.crunchbase.com/organization/smartwork']"
Run the Call,"['https://www.crunchbase.com/organization/run-the-call', 'https://www.crunchbase.com/organization/run-the-call/recommended_searches/recommended_search', 'https://www.crunchbase.com/person/adam-codilis']"
Amicable Apps,"['https://www.crunchbase.com/organization/amicable', 'https://www.crunchbase.com/organization/amicable/apptopia/apptopia_app_overview_list_public', 'https://www.crunchbase.com/organization/amicable/overview/overview_headline']"
Trail Bloom,"['https://www.crunchbase.com/organization/trail', 'https://www.crunchbase.com/organization/bloomthat', 'https://www.crunchbase.com/funding_round/nautilus-labs-2-series-a--39339a8a']"
Tranxact,"['https://www.crunchbase.com/organization/tranzact', 'https://www.crunchbase.com/organization/tranzact-2', 'https://www.crunchbase.com/organization/tranzact-technologies']"
MeWe.Org,"['https://www.crunchbase.com/organization/sgrouples', 'https://www.crunchbase.com/person/mark-weinstein-2', 'https://www.crunchbase.com/organization/mewe-inc-']"
Counsel on Call Services Inc,"['https://www.crunchbase.com/organization/counsel-financial-services', 'https://www.crunchbase.com/organization/dsicovery', 'https://www.crunchbase.com/organization/legility']"
EDT,"['https://www.crunchbase.com/organization/edt-4782', 'https://www.crunchbase.com/organization/edt', 'https://www.crunchbase.com/organization/edt-group']"
priya,"['https://www.crunchbase.com/person/priya-saiprasad', 'https://www.crunchbase.com/person/priya-amin', 'https://www.crunchbase.com/person/priya-gupta']"
litsmart,"['https://www.crunchbase.com/organization/loadsmart', 'https://www.crunchbase.com/person/felipe-capella', '/www.google.com/search?ie=UTF-8']"
Soft8 Softwares Inteligentes,"['https://www.crunchbase.com/organization/iprocessum', 'https://www.crunchbase.com/organization/softelligence', 'https://www.crunchbase.com/organization/8soft']"
Living Legacies,"['https://www.crunchbase.com/organization/the-living-legacy-foundation', 'https://www.crunchbase.com/organization/the-living-legacy-foundation/hubs/hubs_list', 'https://www.crunchbase.com/organization/wishlife']"
PECULE Innovations,"['https://www.crunchbase.com/organization/innovative', 'https://www.crunchbase.com/organization/innovative-interfaces', 'https://www.crunchbase.com/organization/innovation-industries']"
Casefunder,"['http://www.serenitystreetnews.com/HERSTORY%20CRAMNOTES/5dterra%20NOTES%20AUDIO%20VIDEO/2012%20files/july2012drama/juno%202012%20email%20out%20ILLUMINATI%20%20NEPHILIM%20VAMPIRE%20TRINITY%20%20%20666%20%20%20%20fallen%20angels%20%20BLACK%20MAJICK.doc', 'https://www.anshuncn.club/2018-07-25/news97548.html']"
Added Life Value AG,"['https://www.crunchbase.com/organization/avac-ltd', 'https://www.crunchbase.com/organization/msg-systems-ag', 'https://www.crunchbase.com/organization/iurfriend']"
matters.Cloud,"['https://www.crunchbase.com/organization/matters-cloud', 'https://www.crunchbase.com/organization/matter-a0a1', 'https://www.crunchbase.com/organization/matter-2']"
Privatim,"['https://www.crunchbase.com/organization/priv%C4%81tim', 'https://www.wikifolio.com/en/int/w/wftrends4y', 'https://signal2forex.com/la/2019/04/27/fanduel-and-draftkings-are-racing-to-turn-gambling-from-your-phone-into-a-150-billion-industry/']"
RYTER,"['https://www.crunchbase.com/organization/ryter-kommunikationsbyra-ab', 'https://www.crunchbase.com/person/marc-andre-ryter', 'https://www.crunchbase.com/search/organizations/field/organizations/location_identifiers/bolln%C3%A4s-gavleborgs-lan']"
Studentensteuererklaerung.de,"['https://www.crunchbase.com/organization/wundertax', 'https://studentensteuererklaerung.de/', 'https://www.studentensteuererklaerung.de/preise']"
LegalBods,"['https://www.crunchbase.com/organization/edraftly', 'https://www.tapatalk.com/groups/bowiewonderworld/terry-burns-info-t82576.html']"
Justice42 B.V.,"['https://www.bloomberg.com/profile/company/1571540D:NA', 'https://kuscholarworks.ku.edu/bitstream/1808/25708/1/07_Turk_Final.pdf', 'https://www.cambridge.org/core/books/copyright-class-struggle/ip-liberties/2FDA4A8F08C09A4E3BC5F92D01B96680/core-reader']"
SOLOMON Justice AI,"['https://www.crunchbase.com/hub/debt-investors-investments-in-portland-oregon/timeline/timeline', 'https://www.crunchbase.com/organization/santa-clara-university/timeline/timeline', 'https://www.crunchbase.com/hub/investors-active-in-belmont-california/timeline/timeline']"
Threat Resilience,"['https://www.crunchbase.com/organization/cyber-resilience', 'https://www.crunchbase.com/organization/threatspan', 'https://www.crunchbase.com/organization/cybersecurity-and-infrastructure-security-agency-cisa']"
Law ExplorersÂ®,"['https://news.crunchbase.com/news/upcounsel-avoids-shutdown-after-last-minute-acquisition-by-enduring-ventures/', 'https://www.crunchbase.com/organization/legal-general', 'https://www.crunchbase.com/hub/legal-tech-companies']"
BDM-Corporate Sales & Alliances,"['https://www.indeed.com/q-Corporate-Sales-Bdm-jobs.html', 'https://www.glassdoor.com/Job/bengaluru-bdm-corporate-sales-jobs-SRCH_IL.0,9_IC2940587_KO10,29.htm?srs=JV_APPLYPANE&jl=3200834136', 'https://www.indeed.co.in/Corporate-Sales-Bdm-jobs']"
Civil Informer,"['https://www.crunchbase.com/search/organization.companies/field/organizations/rank_org_company/327564', 'https://www.crunchbase.com/search/organization.companies/field/organizations/rank_org_company/500170', 'https://www.crunchbase.com/search/organization.companies/field/organizations/rank_org_company/717412']"
CLAWS,"['https://www.crunchbase.com/organization/tender-claws', 'https://www.crunchbase.com/person/samantha-gorman', 'https://www.crunchbase.com/organization/maine-red-claws']"
Concis.ly,"['https://www.crunchbase.com/person/duncan-gillingwater', 'https://www.crunchbase.com/organization/ly-com', 'https://www.crunchbase.com/person/gianna-conci-orozco']"
wakili.ai,"['https://www.crunchbase.com/organization/biin-online', 'https://www.crunchbase.com/organization/over-ai', 'https://www.crunchbase.com/organization/integrate-ai']"
NEXAW,['https://www.facebook.com/awady87']
ChirpCase,"['https://richardagarrett.zacharyogregson.online/unlock-iphone-5s-83', 'https://insta-stalkerr.com/tag/chirps-chips']"
ContractWiser,['http://accellence.mx/2017/06/30/hello-world/']
Legal Gateway,"['https://www.crunchbase.com/organization/plexus-8093', 'https://www.crunchbase.com/organization/easy-payments-gateway', 'https://www.crunchbase.com/organization/gateway']"
hukumonline.com by PT Justika Siar Publika,"['https://www.crunchbase.com/organization/hukumonline-com', 'https://www.crunchbase.com/person/fathan-qorib', 'https://www.hukumonline.com/tentangkami/']"
erik@translatefx.com,"['https://www.crunchbase.com/organization/dr-erik-t-bendiks-m-d-2', 'https://www.crunchbase.com/person/erik-engel', 'https://www.crunchbase.com/person/erik-chan']"
Beacon Direct Cremation,"['https://www.crunchbase.com/organization/beacon-direct-cremation', 'https://www.crunchbase.com/organization/new-beacon-hospice', 'http://www.crunchbase.com/organization/funeral-direct']"
A2.Legal,"['https://www.crunchbase.com/organization/a2-biotherapeutics', 'https://www.crunchbase.com/organization/a2-hosting', 'https://www.crunchbase.com/organization/a2-ltd']"
AJC Asesor fiscal y contable en Madrid,"['https://www.crunchbase.com/organization/meu-perfil', 'https://www.crunchbase.com/organization/ajc-ingenierie', 'https://www.crunchbase.com/organization/ajc-info']"
Texas Trust Home Loans,"['https://www.crunchbase.com/organization/texas-trust-credit-union', 'https://www.crunchbase.com/organization/great-western-home-loans-texas-nmls-82156', 'https://www.bankrate.com/mortgages/reviews/texas-trust-home-loans/']"
SiËSDE Dispute Resolution Technologies,"['https://www.crunchbase.com/organization/si%C3%ABsde', 'https://www.crunchbase.com/search/organization.companies/field/organizations/rank_org_company/258035', 'https://www.crunchbase.com/search/organization.companies/field/organizations/rank_org_company/305008']"
ClientSherpa,[]
Emérita Legal,"['https://www.crunchbase.com/organization/em%C3%A9rita-legal', 'https://www.crunchbase.com/organization/em%C3%A9rita-legal/company_financials', 'https://www.crunchbase.com/funding_round/em%C3%A9rita-legal-undisclosed--f9014979']"
Discovery Genie LLC,"['https://www.crunchbase.com/organization/white-innovation', 'https://www.crunchbase.com/organization/genie-5', 'https://www.crunchbase.com/organization/dropgenie']"
CLA Reply,"['https://www.crunchbase.com/organization/reply', 'https://www.crunchbase.com/organization/replyapp-io', 'https://www.crunchbase.com/organization/buyreply']"
LEX247,"['https://www.crunchbase.com/organization/karnov-group', 'https://www.crunchbase.com/hub/legal-tech-companies/timeline/timeline', 'https://www.crunchbase.com/organization/24-7-customer']"
Lexbase,"['http://www.crimeflare.org:82/cfssl.html', 'https://bulentagaoglu.blogspot.com/2020/07/wikipediada-veritabanlari-hakkindaki.html', 'http://rahsia-forex.lovemanythings.net/feed/']"
ClauseBase,"['https://www.linkedin.com/company/clausebase', 'https://www.crunchbase.com/organization/clause', 'https://www.legalgeek.co/startup-map-v1/avvoka/']"
Litigation Edge Pte Ltd,"['https://www.crunchbase.com/organization/litigation-edge', 'https://www.crunchbase.com/organization/edgesecure', 'https://www.crunchbase.com/organization/playtika']"
Fucitech.com,"['/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8']"
Red Rain,"['https://www.crunchbase.com/organization/red-rain-seo', 'https://www.crunchbase.com/organization/rain-cd3e', 'https://www.crunchbase.com/organization/red']"
LegalDPT.com,"['https://www.crunchbase.com/organization/global-finance-capital', '/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8']"
Goh1b,"['/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8', 'https://www.1point3acres.com/bbs/thread-468128-1-1.html']"
Blika Solutions AB,"['https://www.crunchbase.com/organization/blika-corptax-ab', 'https://www.linkedin.com/company/blika-ab', 'https://ca.linkedin.com/company/blika-ab']"
LEAP Legal Software,"['https://www.crunchbase.com/organization/leap-legal-software', 'https://www.crunchbase.com/organization/leap-9550', 'https://www.crunchbase.com/organization/leap']"
StyleByWood,"['/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8']"
Lavendla AB,"['https://www.crunchbase.com/hub/the-springfield-project-portfolio-companies', 'https://www.crunchbase.com/search/funding_rounds/field/principal.investors/num_investments_funding_rounds/the-springfield-project', 'https://www.crunchbase.com/search/organization.companies/field/organization.companies/rank_org_company/38166']"
Neu Skin,"['https://www.crunchbase.com/organization/nu-skin-enterprises', 'https://www.crunchbase.com/funding_round/nu-skin-enterprises-post-ipo-equity--e70e13f6', 'https://www.crunchbase.com/search/funding_rounds/field/organizations/num_funding_rounds/nu-skin-enterprises']"
A2J Tech Store,"['https://www.crunchbase.com/organization/a2j-informatique', 'https://www.crunchbase.com/organization/jamja', 'https://www.crunchbase.com/organization/a2z-sourcetech']"
Vable,"['https://www.crunchbase.com/organization/linex-systems', 'https://www.crunchbase.com/organization/linex-systems/current_employees/current_employees_image_list', 'http://www.crunchbase.com/organization/linex-systems/timeline/timeline']"
LawPipe,['https://techindex.law.stanford.edu/companies/1402']
DASTAVEJ,"['https://apkpure.com/in/dastavej-%E0%A4%A6%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B5%E0%A5%87%E0%A4%9C/org.pms.dastavej/download/7-XAPK-9a17ca0b1d17dab1b2ffc47743d99f93?from=versions%2Fversion', '/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8']"
Lendova Mortgage,"['https://www.crunchbase.com/person/jenny-den', 'https://www.nerdwallet.com/reviews/mortgages/loandepot-mortgage-loans', 'http://finizzi.blog138.fc2.com/blog-date-201011.html']"
Immediation,"['https://www.crunchbase.com/organization/immediate-media-co', 'https://www.crunchbase.com/organization/immediate-solutions', 'https://www.crunchbase.com/organization/physicians-immediate-care']"
Fireworks Store,"['https://www.crunchbase.com/organization/galaxy-fireworks-inc', 'https://www.crunchbase.com/organization/jakes-fireworks', 'https://www.crunchbase.com/organization/pyroweb']"
BanyanRFP,"['https://www.crunchbase.com/organization/banyan-services-llc', 'https://www.crunchbase.com/organization/banyanops', 'https://www.cioreview.com/news/qdiscovery-announces-qprivalert-to-quickly-find-potentially-privileged-communications-nid-27047-cid-65.html']"
Arbitrator Intelligence,"['https://www.crunchbase.com/organization/national-arbitration-and-mediation', 'https://arbitratorintelligence.com/faqs/', 'https://arbitratorintelligence.com/']"
Danse Orientale 5€,"['https://www.crunchbase.com/organization/doonya', 'https://www.crunchbase.com/organization/quitoque', 'https://www.crunchbase.com/organization/cinqs']"
iolex limited,"['https://www.crunchbase.com/organization/ilex-markets', 'https://www.crunchbase.com/organization/ilex-medical', 'https://www.crunchbase.com/hub/cambridge-acquired-companies']"
Legal me,"['https://www.crunchbase.com/organization/inlaw-me', 'https://www.crunchbase.com/organization/esq-me', 'https://www.crunchbase.com/organization/involve-me']"
BlackBoiler,"['https://www.crunchbase.com/organization/blackboiler', 'https://www.crunchbase.com/search/funding_rounds/field/organizations/num_funding_rounds/blackboiler', 'https://www.crunchbase.com/organization/blackboiler/recommended_searches/recommended_search']"
Docketwise,"['https://www.crunchbase.com/organization/borderwise', 'https://www.crunchbase.com/organization/philly-startup-leaders', 'https://www.crunchbase.com/organization/borderwise/company_overview/overview_timeline']"
Metidice SAS,"['https://www.crunchbase.com/organization/sas', 'https://www.crunchbase.com/organization/sas-2', 'https://www.crunchbase.com/organization/sas-group']"
AffordableLaw,"['https://www.crunchbase.com/organization/get-prepped', 'https://www.crunchbase.com/acquisition/manhattan-review-acquires-get-prepped--3cb986e8', 'https://www.crunchbase.com/search/organization.companies/field/organizations/rank_org_company/327820']"
AxiomaVox,"['/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8']"
Kreadance,"['https://mjts9.cams719sexy.xyz/', 'https://inl3q.porn592web.xyz/']"
Iusify,"['https://www.crunchbase.com/person/gon%C3%A7alo-piriquito', '/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8']"
Define,"['https://en.wikipedia.org/wiki/Crunchbase', '?ie=UTF-8', '?ie=UTF-8']"
Online Legal India,"['https://www.crunchbase.com/organization/legally-india', 'https://www.crunchbase.com/organization/legalwiz-in-online-legal-services-in-india', 'https://www.crunchbase.com/organization/vkeel']"
Merlin Legal Open Source Foundation,"['https://www.merlinfoundation.org/', 'https://www.merlinfoundation.org/projects-1', 'https://www.merlinfoundation.org/faqs']"
Adden Technology Limited,"['https://www.crunchbase.com/organization/nizthewiz-technology-limited', 'https://www.crunchbase.com/organization/a-d-technology', 'https://www.crunchbase.com/organization/mapxus']"
CrashGenius,"['https://angel.co/company/crashgenius/jobs', 'https://thehill.com/homenews/administration/340344-trump-breaks-tradition-doesnt-recognize-lgbt-pride-month', '/www.google.com/search?ie=UTF-8']"
Parke Lawyers,"['https://www.crunchbase.com/person/jim-parke', 'https://www.crunchbase.com/organization/unicef-australia', 'https://www.crunchbase.com/search/press_references/field/organizations/num_articles/unicef-australia']"
Brand Discount,"['https://www.crunchbase.com/organization/big-brands---get-amazing-discount-deals-offers-sale-of-perfumes', 'https://news.crunchbase.com/news/big-fashion-deals-are-in-style/', 'https://www.crunchbase.com/organization/discounts-code']"
NIKOLSEN,"['https://www.crunchbase.com/organization/nicholson-business-systems', 'https://www.crunchbase.com/organization/nicholson-hartung-consulting', 'https://www.crunchbase.com/organization/nicholson-construction']"
SavvySuit,['https://www.ventureradar.com/similar/Court%20Buddy/bdbf4362-702e-4da5-a53e-78da0c34b696']
Advolist,"['https://www.crunchbase.com/organization/advolist-rechtsanwalt-finden', 'https://www.crunchbase.com/search/principals/field/principals/rank_principal/1127871', 'https://www.crunchbase.com/search/principals/field/principals/rank_principal/1127862']"
MotoLlopis,"['/www.google.com/search?ie=UTF-8', '/www.google.com/search?ie=UTF-8']"
CourtCorrect,"['https://www.crunchbase.com/person/sammy-courtright', 'https://www.crunchbase.com/person/jeff-courtright', 'https://www.crunchbase.com/person/ken-courtright']"
awracle,"['https://www.crunchbase.com/organization/oracle', 'https://www.crunchbase.com/hub/oracle-portfolio-companies', 'https://www.crunchbase.com/organization/netsuite']"
CLAWS',"['https://www.crunchbase.com/organization/tender-claws', 'https://www.crunchbase.com/person/samantha-gorman', 'https://www.crunchbase.com/organization/maine-red-claws']"
